transaction_id,amount,transaction_date
1,250.50,2023-01-15
2,150.75,2023-01-20
3,75.00,2023-02-05
4,320.00,2023-02-10
5,89.99,2023-02-15
6,445.25,2023-02-22
7,120.00,2023-03-01
8,55.50,2023-03-05
9,299.99,2023-03-10
10,175.25,2023-03-15
11,89.00,2023-03-20
12,420.75,2023-03-25
13,210.00,2023-04-01
14,65.25,2023-04-05
15,380.50,2023-04-10
16,145.00,2023-04-15
17,95.75,2023-04-20
18,510.25,2023-04-25
19,220.00,2023-05-01
20,78.50,2023-05-05
21,165.99,2023-05-10
22,35.25,2023-05-15
23,425.00,2023-05-20
24,185.50,2023-05-25
25,110.75,2023-06-01
26,290.00,2023-06-05
27,55.99,2023-06-10
28,355.25,2023-06-15
29,135.00,2023-06-20
30,92.50,2023-06-25
31,475.75,2023-07-01
32,205.00,2023-07-05
33,148.25,2023-07-10
34,82.00,2023-07-15
35,310.50,2023-07-20
36,175.99,2023-07-25
37,45.25,2023-08-01
38,390.00,2023-08-05
39,125.50,2023-08-10
40,68.75,2023-08-15
41,520.25,2023-08-20
42,195.00,2023-08-25
43,88.50,2023-09-01
44,275.25,2023-09-05
45,155.00,2023-09-10
46,42.99,2023-09-15
47,435.75,2023-09-20
48,180.25,2023-09-25
49,105.00,2023-10-01
50,330.50,2023-10-05
51,72.25,2023-10-10
52,245.00,2023-10-15
53,95.50,2023-10-20
54,465.99,2023-10-25
55,165.75,2023-11-01
