text_feature,label
Win a free lottery prize now,spam
Congratulations you won a free vacation,spam
Click here to claim your free gift card,spam
Urgent action required verify your account,spam
You have been selected for a special offer,spam
Limited time offer buy now,spam
Free money claim your prize,spam
Act now before its too late,spam
Get rich quick earn money from home,spam
Your computer has a virus call now,spam
Meeting tomorrow at 3pm,not spam
Project deadline is next week,not spam
Please review the attached document,not spam
Thanks for your help with the presentation,not spam
Can we reschedule our meeting,not spam
Happy birthday hope you have a great day,not spam
Let me know if you have any questions,not spam
The report looks good great work,not spam
Looking forward to seeing you soon,not spam
Please confirm your attendance,not spam
Thanks for the update,not spam
